id,title,detail,min_player,max_player,min_playtime,max_playtime,category,tag,difficulty,bgg_id,theme
21,루미큐브,루미큐브는 2-4명이 함께 즐기는 보드게임입니다. 가지고 있는 패를 잘 조합하여 바닥에 내려놓아 보세요. 바닥에 있는 패를 이용해서도 도합할 수 있으니 머리를 쉴 새 없이 써야 합니다. 조합을 어떻게 할 것인지 계획하고 그대로 실행해 보세요. 하면할 수록 재미있어지는 게임 루미큐브입니다.,2,4,60,60,"Abstract Strategy, Card Game, Number","두뇌, 퍼즐, 카드게임",1.7395,811,puzzle
22,태양너머로,죽어가는 지구를 뒤로하고… 인류는 태양 너머로 나아갑니다. 인류의 미래를 짊어지고 나아갈 강력한 진영 중 하나를 선택하고 진영의 지도자가 되어 거주할 수 있는 행성계로 여러분을 따르는 이를 인도하세요. 우주의 새로운 지배자가 되려면 그에 걸맞은 실력을 갖추어야 할 것 입니다.,2,4,60,120,"Science Fiction, Space Exploration","공상과학, 전략, 우주",3.0843,317985,space
23,다빈치 코드,"다빈치 코드에 숨겨진 비밀을 밝혀라!
누가 먼저 비밀코드를 풀 것인가? 여러분의 비밀코드는 숨기고 상대방의 코드를 추리하세요. 하나씩 드러나는 상대방의 코드! 정보를 바탕으로 나머지코드를 모두 맞혀 보세요.",2,4,15,15,Deduction,두뇌,1.4862,8946,puzzle
24,블로커스,규칙은 단 하나 자기 블록의 꼭지점끼리만 맞닿게 하라! 블록으로 상대를 차단하고 자신만의 공간을 만드세요!,2,5,30,40,Abstract Strategy,"두뇌, 전략, 퍼즐, 땅따먹기",1.7039,29073,puzzle
25,딕싯,"멋진 그림을 보고 이야기를 나누면서 서로의 생각과 마음을 알아맞히는 게임 딕싯이 특별한 만남으로 찾아왔습니다.
수십 년간 사람들에게 아름다운 이야기를 선사해 온 디즈니와 픽사를 이제 딕싯의 세계에서 만나보세요. 사랑스러운 캐릭터들과 함께했던 장면들을 떠올리며 여러분의 상상력과 창의력으로 그 추억을 재탄생시켜 주세요!",3,6,30,30,"Card Game, Humor, Party Game","레이스, 시뮬레이션, 노잼, 감성, 상상",1.2128,39856,puzzle
26,미스터리 하우스,3D 입체 저택모형과 스마트폰 애플리케이션을 이용해 수수께끼를 풀어나가는 실시간 협력형 방 탈출 게임입니다. 모험마다 완전히 변모하는 입체 저택을 구석구석 탐험하세요. 숨겨진 단서를 찾아 수수께끼를 풀면 새로운 방이 열리며 이야기의 전말이 드러납니다. 모든 비밀을 풀어낸 사람만이 저택을 빠져나갈 수 있습니다. 용기 있게 저택의 비밀을 파헤칠 준비가 되셨나요?,1,5,60,60,"Adventure, Deduction, Murder/Mystery, Party Game, Real-time","모험, 미스테리, 호러",2.3,269537,horror
27,13 클루,"추리 게임의 새로운 진화! 13개의 단서에서 사건의 진상을 파헤쳐라!
연쇄살인으로 긴장감이 가득한 19세기 영국. 여러분은 런던의 일류 탐정이 되어 살인 사건의 진상을 파헤쳐야 합니다. 자신이 담당한 사건의 진상을 파헤치고 최고의 탐정으로 거듭나십시오.",2,6,30,30,"Deduction, Memory, Murder/Mystery","공포, 호러, 미스테리 ",1.8889,208766,horror
28,5초 준다!,카드를 펼치고 주제에 맞는 단어 3가지를 빠르게 대답하세요. 시간은 단 5초! 정확하게 5초에 맞춰진 특별한 구슬 타이머가 여러분을 재촉할 것입니다.,3,6,30,30,"Card Game, Party Game, Real-time, Trivia","실시간, 순발력, 파티",1.1148,86073,puzzle
29,다이브,"외딴 섬 윈드바크에는 오래된 전통이 있습니다. 이곳에서는 매년 하짓날, 성년을 맞은 마을의 젊은이들이 신성한 돌을 찾아 깊은 바닷속으로 뛰어듭니다. 돌을 가장 먼저 찾아오는 이가 그 해의 영웅이 됩니다. 상어는 피하고, 바다거북과 가오리의 도움을 받아 누구보다 먼저 깊이 내려가세요. 하지만 출렁이는 물결 너머 저 앞 그림자는 과연 상어일까요? 바다거북일까요?",1,4,20,30,"Card Game, Party Game, Trivia","카드, 바다, 탐험",1.6923,304324,ocean
30,시에라 웨스트,"1840년대 후반, 수천명의 개척자들이 부와 기회를 위해서 서부로 이주했습니다. 이 용감한 영혼의 소유자들은 훗날 캘리포니아의 금맥이 될 시에라 네바다 산악을 마차로 여행해 왔습니다. 시에라웨스트에서 여러분들은 준비되고 강인한 개척자들의 그룹을 이끌고, 이들로 하여금 단계마다 다양한 전략을 시도합니다.",1,4,40,60,Card Game,"카드, 서부, 개척, 타일",3.087,257066,west
